
 Node          U1          U2          U3
  277  -1.356e-02  -2.240e-02  -6.878e-04
  278  -1.501e-02  -2.803e-02  -6.534e-04
  279  -1.628e-02  -3.435e-02  -5.934e-04
  280  -1.735e-02  -4.128e-02  -5.131e-04
  281  -1.822e-02  -4.869e-02  -4.211e-04
  282  -1.887e-02  -5.648e-02  -3.295e-04
  283  -1.929e-02  -6.454e-02  -2.536e-04
  284  -1.948e-02  -7.268e-02  -2.096e-04
  285  -1.191e-02  -1.720e-02  -1.122e-03
  286  -1.353e-02  -2.198e-02  -1.099e-03
  287  -1.501e-02  -2.761e-02  -1.032e-03
  288  -1.630e-02  -3.398e-02  -9.268e-04
  289  -1.738e-02  -4.095e-02  -7.937e-04
  290  -1.826e-02  -4.842e-02  -6.444e-04
  291  -1.893e-02  -5.629e-02  -4.935e-04
  292  -1.935e-02  -6.441e-02  -3.644e-04
  293  -1.953e-02  -7.260e-02  -2.857e-04
  294   1.490e-04  -1.238e-02  -5.804e-04
  295   6.705e-05  -1.266e-02  -3.455e-04
  296   3.547e-05  -1.281e-02  -1.596e-04
  297   2.682e-05  -1.286e-02  -1.266e-16
  298   3.547e-05  -1.281e-02   1.596e-04
  299   6.705e-05  -1.266e-02   3.455e-04
  300   1.490e-04  -1.238e-02   5.804e-04
  301  -3.227e-03  -1.265e-02  -1.090e-05
  302  -3.289e-03  -1.297e-02  -6.178e-06
  303  -3.322e-03  -1.314e-02  -2.439e-07
  304  -3.333e-03  -1.319e-02  -1.067e-16
  305  -3.322e-03  -1.314e-02   2.439e-07
  306  -3.289e-03  -1.297e-02   6.178e-06
  307  -3.227e-03  -1.265e-02   1.090e-05
  308  -6.759e-03  -1.292e-02   5.680e-04
  309  -6.805e-03  -1.328e-02   3.600e-04
  310  -6.839e-03  -1.346e-02   1.742e-04
  311  -6.851e-03  -1.352e-02  -8.137e-17
  312  -6.839e-03  -1.346e-02  -1.742e-04
  313  -6.805e-03  -1.328e-02  -3.600e-04
  314  -6.759e-03  -1.292e-02  -5.680e-04
  315   4.388e-03  -8.157e-02   9.762e-05
  316   4.438e-03  -8.151e-02   6.062e-05
  317   4.436e-03  -8.154e-02   1.874e-05
  318   4.435e-03  -8.155e-02  -4.987e-16
  319   4.436e-03  -8.154e-02  -1.874e-05
  320   4.438e-03  -8.151e-02  -6.062e-05
  321   4.388e-03  -8.157e-02  -9.762e-05
  322  -3.669e-03  -8.096e-02   1.814e-04
  323  -3.608e-03  -8.100e-02   9.448e-05
  324  -3.586e-03  -8.104e-02   4.674e-05
  325  -3.581e-03  -8.106e-02  -4.705e-16
  326  -3.586e-03  -8.104e-02  -4.674e-05
  327  -3.608e-03  -8.100e-02  -9.448e-05
  328  -3.669e-03  -8.096e-02  -1.814e-04
  329  -1.156e-02  -8.072e-02   2.165e-04
  330  -1.152e-02  -8.080e-02   1.537e-04
  331  -1.150e-02  -8.085e-02   7.979e-05
  332  -1.149e-02  -8.086e-02  -4.497e-16
  333  -1.150e-02  -8.085e-02  -7.979e-05
  334  -1.152e-02  -8.080e-02  -1.537e-04
  335  -1.156e-02  -8.072e-02  -2.165e-04
  336   6.987e-04  -1.576e-02  -8.844e-04
  337   1.366e-03  -2.084e-02  -8.806e-04
  338   2.034e-03  -2.665e-02  -7.897e-04
  339   2.638e-03  -3.315e-02  -6.885e-04
  340   3.154e-03  -4.024e-02  -5.817e-04
  341   3.571e-03  -4.781e-02  -4.691e-04
  342   3.877e-03  -5.578e-02  -3.439e-04
  343   4.050e-03  -6.405e-02  -1.740e-04
  344   3.974e-03  -7.279e-02   4.887e-05
  345  -3.374e-03  -1.588e-02  -6.269e-05
  346  -3.521e-03  -2.078e-02  -5.959e-05
  347  -3.559e-03  -2.656e-02  -4.940e-05
  348  -3.567e-03  -3.306e-02  -3.494e-05
  349  -3.573e-03  -4.017e-02  -2.476e-05
  350  -3.594e-03  -4.778e-02  -1.362e-05
  351  -3.646e-03  -5.578e-02   1.093e-05
  352  -3.753e-03  -6.411e-02   6.166e-05
  353  -3.831e-03  -7.264e-02   1.603e-04
  354  -7.594e-03  -1.613e-02   7.763e-04
  355  -8.409e-03  -2.095e-02   7.460e-04
  356  -9.134e-03  -2.667e-02   6.955e-04
  357  -9.759e-03  -3.315e-02   6.209e-04
  358  -1.029e-02  -4.025e-02   5.307e-04
  359  -1.074e-02  -4.786e-02   4.333e-04
  360  -1.111e-02  -5.587e-02   3.410e-04
  361  -1.139e-02  -6.416e-02   2.739e-04
  362  -1.155e-02  -7.253e-02   2.543e-04
  363   6.987e-04  -1.576e-02   8.844e-04
  364   1.366e-03  -2.084e-02   8.806e-04
  365   2.034e-03  -2.665e-02   7.897e-04
  366   2.638e-03  -3.315e-02   6.885e-04
  367   3.154e-03  -4.024e-02   5.817e-04
  368   3.571e-03  -4.781e-02   4.691e-04
  369   3.877e-03  -5.578e-02   3.439e-04
  370   4.050e-03  -6.405e-02   1.740e-04
  371   3.974e-03  -7.279e-02  -4.887e-05
  372  -3.374e-03  -1.588e-02   6.269e-05
  373  -3.521e-03  -2.078e-02   5.959e-05
  374  -3.559e-03  -2.656e-02   4.940e-05
  375  -3.567e-03  -3.306e-02   3.494e-05
  376  -3.573e-03  -4.017e-02   2.476e-05
  377  -3.594e-03  -4.778e-02   1.362e-05
  378  -3.646e-03  -5.578e-02  -1.093e-05
  379  -3.753e-03  -6.411e-02  -6.166e-05
  380  -3.831e-03  -7.264e-02  -1.603e-04
  381  -7.594e-03  -1.613e-02  -7.763e-04
  382  -8.409e-03  -2.095e-02  -7.460e-04
  383  -9.134e-03  -2.667e-02  -6.955e-04
  384  -9.759e-03  -3.315e-02  -6.209e-04
  385  -1.029e-02  -4.025e-02  -5.307e-04
  386  -1.074e-02  -4.786e-02  -4.333e-04
  387  -1.111e-02  -5.587e-02  -3.410e-04
  388  -1.139e-02  -6.416e-02  -2.739e-04
  389  -1.155e-02  -7.253e-02  -2.543e-04
  390   9.290e-04  -6.265e-04  -3.573e-04
  391   1.850e-03  -1.160e-03  -5.585e-04
  392   2.697e-03  -1.910e-03  -6.127e-04
  393   3.476e-03  -2.884e-03  -5.957e-04
  394   4.163e-03  -4.072e-03  -5.359e-04
  395   4.723e-03  -5.436e-03  -4.546e-04
  396   5.113e-03  -6.901e-03  -3.705e-04
  397   5.312e-03  -8.358e-03  -3.024e-04
  398   5.359e-03  -9.685e-03  -2.610e-04
  399   9.468e-04  -6.928e-04  -2.029e-04
  400   1.828e-03  -1.261e-03  -3.329e-04
  401   2.674e-03  -2.028e-03  -3.885e-04
  402   3.456e-03  -2.998e-03  -3.872e-04
  403   4.144e-03  -4.170e-03  -3.552e-04
  404   4.701e-03  -5.509e-03  -3.100e-04
  405   5.088e-03  -6.947e-03  -2.656e-04
  406   5.291e-03  -8.377e-03  -2.327e-04
  407   5.349e-03  -9.687e-03  -2.164e-04
  408   9.572e-04  -7.232e-04  -9.325e-05
  409   1.831e-03  -1.314e-03  -1.555e-04
  410   2.662e-03  -2.091e-03  -1.860e-04
  411   3.439e-03  -3.063e-03  -1.898e-04
  412   4.124e-03  -4.230e-03  -1.772e-04
  413   4.678e-03  -5.559e-03  -1.581e-04
  414   5.065e-03  -6.986e-03  -1.400e-04
  415   5.272e-03  -8.407e-03  -1.281e-04
  416   5.339e-03  -9.716e-03  -1.247e-04
  417   9.615e-04  -7.324e-04  -6.884e-18
  418   1.832e-03  -1.330e-03  -1.667e-17
  419   2.659e-03  -2.111e-03  -2.981e-17
  420   3.432e-03  -3.084e-03  -4.526e-17
  421   4.116e-03  -4.250e-03  -6.202e-17
  422   4.670e-03  -5.577e-03  -8.046e-17
  423   5.057e-03  -7.002e-03  -1.005e-16
  424   5.265e-03  -8.421e-03  -1.193e-16
  425   5.335e-03  -9.731e-03  -1.359e-16
  426   9.572e-04  -7.232e-04   9.325e-05
  427   1.831e-03  -1.314e-03   1.555e-04
  428   2.662e-03  -2.091e-03   1.860e-04
  429   3.439e-03  -3.063e-03   1.898e-04
  430   4.124e-03  -4.230e-03   1.772e-04
  431   4.678e-03  -5.559e-03   1.581e-04
  432   5.065e-03  -6.986e-03   1.400e-04
  433   5.272e-03  -8.407e-03   1.281e-04
  434   5.339e-03  -9.716e-03   1.247e-04
  435   9.468e-04  -6.928e-04   2.029e-04
  436   1.828e-03  -1.261e-03   3.329e-04
  437   2.674e-03  -2.028e-03   3.885e-04
  438   3.456e-03  -2.998e-03   3.872e-04
  439   4.144e-03  -4.170e-03   3.552e-04
  440   4.701e-03  -5.509e-03   3.100e-04
  441   5.088e-03  -6.947e-03   2.656e-04
  442   5.291e-03  -8.377e-03   2.327e-04
  443   5.349e-03  -9.687e-03   2.164e-04
  444   9.290e-04  -6.265e-04   3.573e-04
  445   1.850e-03  -1.160e-03   5.585e-04
  446   2.697e-03  -1.910e-03   6.127e-04
  447   3.476e-03  -2.884e-03   5.957e-04
  448   4.163e-03  -4.072e-03   5.359e-04
  449   4.723e-03  -5.436e-03   4.546e-04
  450   5.113e-03  -6.901e-03   3.705e-04
  451   5.312e-03  -8.358e-03   3.024e-04
  452   5.359e-03  -9.685e-03   2.610e-04
  453  -9.008e-04  -5.854e-04   3.683e-04
  454  -1.809e-03  -1.055e-03   6.007e-04
  455  -2.667e-03  -1.709e-03   7.071e-04
  456  -3.504e-03  -2.553e-03   7.671e-04
  457  -4.342e-03  -3.585e-03   8.126e-04
  458  -5.220e-03  -4.810e-03   8.626e-04
  459  -6.197e-03  -6.268e-03   9.234e-04
  460  -7.342e-03  -8.055e-03   9.914e-04
  461  -8.701e-03  -1.034e-02   1.056e-03
  462  -9.161e-04  -6.530e-04   2.142e-04
  463  -1.785e-03  -1.165e-03   3.668e-04
  464  -2.646e-03  -1.849e-03   4.589e-04
  465  -3.497e-03  -2.712e-03   5.090e-04
  466  -4.353e-03  -3.764e-03   5.431e-04
  467  -5.252e-03  -5.015e-03   5.736e-04
  468  -6.248e-03  -6.507e-03   6.049e-04
  469  -7.408e-03  -8.338e-03   6.361e-04
  470  -8.774e-03  -1.067e-02   6.643e-04
  471  -9.275e-04  -6.850e-04   1.003e-04
  472  -1.792e-03  -1.224e-03   1.744e-04
  473  -2.644e-03  -1.927e-03   2.235e-04
  474  -3.500e-03  -2.804e-03   2.527e-04
  475  -4.367e-03  -3.867e-03   2.710e-04
  476  -5.278e-03  -5.131e-03   2.852e-04
