4.40E-04	-1.32E-04	-3.99E-08
4.40E-04	-1.31E-04	2.13E-06
4.43E-04	-1.34E-04	2.29E-06
4.43E-04	-1.33E-04	-7.50E-07
4.40E-04	-1.34E-04	-7.49E-06
4.27E-04	-1.30E-04	-2.05E-05
4.04E-04	-1.23E-04	-3.33E-05
3.67E-04	-1.12E-04	-4.96E-05
3.22E-04	-9.81E-05	-5.56E-05
2.73E-04	-7.94E-05	-5.64E-05
2.29E-04	-7.08E-05	-5.14E-05
1.88E-04	-4.90E-05	-3.81E-05
1.66E-04	-5.35E-05	-2.40E-05
1.45E-04	-3.53E-05	-1.36E-05
1.41E-04	-4.71E-05	-3.54E-06
1.39E-04	-3.69E-05	5.22E-06
1.44E-04	-4.68E-05	6.26E-07
1.45E-04	-3.83E-05	9.44E-06
1.54E-04	-5.33E-05	2.70E-06
1.55E-04	-3.65E-05	1.13E-05
1.69E-04	-6.25E-05	4.88E-06
1.68E-04	-3.54E-05	1.42E-05
1.90E-04	-7.34E-05	1.43E-05
1.95E-04	-3.46E-05	2.76E-05
2.34E-04	-9.81E-05	2.65E-05
2.51E-04	-2.89E-05	7.43E-05
3.31E-04	-1.62E-04	3.68E-05
3.74E-04	2.20E-05	2.37E-04
5.31E-04	-4.43E-04	-1.88E-04
-5.32E-04	7.26E-05	-2.22E-04
-4.06E-04	2.62E-05	-1.85E-04
-3.39E-04	1.81E-05	-1.38E-04
-2.79E-04	1.07E-05	-1.17E-04
-2.27E-04	7.57E-06	-9.86E-05
-1.77E-04	4.74E-06	-8.91E-05
-1.31E-04	3.35E-06	-8.06E-05
-8.55E-05	1.57E-06	-7.73E-05
-4.16E-05	1.04E-06	-7.42E-05
1.65E-06	-5.07E-07	-7.49E-05
4.43E-05	-5.21E-07	-7.52E-05
8.77E-05	-2.08E-06	-7.81E-05
1.32E-04	-2.76E-06	-8.18E-05
1.78E-04	-4.93E-06	-8.97E-05
2.27E-04	-7.17E-06	-9.99E-05
2.79E-04	-1.05E-05	-1.18E-04
3.39E-04	-1.78E-05	-1.40E-04
4.05E-04	-2.55E-05	-1.86E-04
5.31E-04	-7.28E-05	-2.23E-04
-1.10E-04	1.02E-04	-2.19E-04
2.14E-05	1.12E-04	-2.38E-04
2.21E-05	1.15E-04	-2.21E-04
3.55E-05	9.32E-05	-2.75E-04
1.60E-05	4.26E-05	-2.85E-04
-7.52E-06	4.20E-06	-3.08E-04
-3.59E-05	-3.94E-05	-2.69E-04
-3.76E-05	-9.65E-05	-2.55E-04
-4.35E-05	-1.33E-04	-2.72E-04
2.11E-05	-1.03E-04	-2.18E-04
9.64E-05	-1.02E-04	-2.02E-04
1.55E-04	-6.22E-05	-2.29E-04
2.13E-04	-1.18E-05	-2.41E-04
2.04E-04	1.46E-05	-2.44E-04
1.75E-04	3.64E-05	-2.52E-04
1.47E-04	6.13E-05	-2.85E-04
4.65E-05	8.70E-05	-2.17E-04
2.26E-05	5.13E-05	-1.85E-04
-6.50E-07	1.81E-05	-2.12E-04
-5.06E-05	-9.51E-06	-2.29E-04
-7.25E-05	-3.78E-05	-2.47E-04
-1.16E-04	-5.56E-05	-2.83E-04
-1.95E-04	-3.02E-05	-2.67E-04
-2.19E-04	-1.26E-05	-2.67E-04
-1.71E-04	-7.20E-06	-2.80E-04
-1.66E-04	6.74E-05	-2.44E-04
-5.30E-04	1.09E-04	-1.67E-04
-5.98E-05	1.81E-05	-3.05E-05
-7.26E-05	2.24E-05	-2.83E-05
-8.42E-05	2.63E-05	-2.47E-05
-9.43E-05	2.95E-05	-2.03E-05
-1.03E-04	3.19E-05	-1.55E-05
-1.09E-04	3.33E-05	-1.23E-05
-1.15E-04	3.44E-05	-1.20E-05
-1.22E-04	3.49E-05	-1.56E-05
-1.31E-04	3.60E-05	-2.70E-05
-1.48E-04	3.96E-05	-4.60E-05
-1.74E-04	4.71E-05	-6.80E-05
-2.09E-04	5.81E-05	-9.02E-05
-2.52E-04	7.34E-05	-1.07E-04
-2.97E-04	9.06E-05	-1.12E-04
-3.38E-04	1.07E-04	-9.97E-05
-3.74E-04	1.19E-04	-7.17E-05
-4.01E-04	1.26E-04	-3.95E-05
-4.14E-04	1.28E-04	-1.73E-05
-4.20E-04	1.28E-04	-4.86E-06
-4.21E-04	1.27E-04	1.07E-06
-4.21E-04	1.26E-04	2.05E-06
-4.21E-04	1.25E-04	-7.88E-07
-4.22E-04	1.25E-04	-5.69E-06
-4.26E-04	1.27E-04	-1.08E-05
-4.31E-04	1.28E-04	-1.56E-05
-4.39E-04	1.31E-04	-1.96E-05
-4.59E-04	1.36E-04	-2.81E-05
-4.72E-04	1.39E-04	-3.67E-05
-4.88E-04	1.41E-04	-4.90E-05
-5.12E-04	1.43E-04	-8.34E-05
5.00E-05	-1.87E-04	-8.66E-05
4.67E-05	-1.56E-04	-7.82E-05
3.45E-05	-1.26E-04	-6.62E-05
2.97E-05	-1.01E-04	-6.16E-05
