% Model:              FEM.mph
% Version:            COMSOL 6.1.0.252
% Date:               Feb 16 2024, 11:34
% Dimension:          3
% Nodes:              795
% Expressions:        4
% Description:        位移场，X 分量, 位移场，Y 分量, 位移场，Z 分量, von Mises 应力
% Length unit:        m
% X                       Y                        Z                        u (mm)                   v (mm)                   w (mm)                   solid.mises (N/m^2)
0.22718317233456276       0.06802951323814062      0                        -0.6761776075177174      -0.01800461214753318     -0.47866092192090615     8517140.373611065
0.2000000000000002        0.2                      0                        -0.5981365323467718      0.05788172272675058      -0.3741015812170994      8566704.717989836
0.2581989229780183        0.1331868186680963       0                        -0.7635386638191288      0.01891804015563067      -0.595729324804454       8399009.63265862
0.28485209288210567       0.08899528102892751      0.03951990195143976      -0.6671123774341914      -0.004710077003156852    -0.6889577689379819      6672967.107493977
0.30000000000000004       0                        0                        -0.87879210468021        -0.05478023972496772     -0.762956049356941       8245177.502849653
0.15057601705568163       0.11891741527080307      0.3461967148837391       0.3253714175526498       -0.008260197536227141    -0.2210191301803945      6552098.7498909505
0.2166292527282382        0.0427601190008118       0.2975724390403458       0.3079665559473898       0.016137063023114132     -0.39507818209551193     4233456.317637348
0.15410238411153046       0.05861576407301508      0.4                      0.465773187828118        0.024403183717543988     -0.25535823032995186     8775057.186683673
0.2                       0                        0.3999999999999999       0.5981625668877165       0.05752792094968562      -0.37424369656689066     8568336.346454851
0.19694585750365326       0.08426205750439654      0.3316211988473252       0.3807050857471435       0.006028068544112335     -0.3458477260059913      5745523.160481219
0.2457314831789429        0                        0.3180079677540947       0.4219716564379062       0.03334939955012851      -0.4978176704334026      5015834.982752933
0.3187051328719249        0.04342188829356646      0.08299400660607457      -0.5373784733637769      -0.017937005258438006    -0.824422390784958       4805808.383451075
0.3169924624629301        0                        0.15280484389957025      -0.21416820570236425     -0.012830194414442797    -0.791184101257207       2037883.7673315704
0.2647219819408239        0.06255922699109859      0.09471017436751446      -0.40448778560733706     -0.010939274790187222    -0.5813484913114699      4445918.481121407
0.26017145110688417       0.2                      0.07798768487272763      -0.4613269029851092      0.03443691588861481      -0.5560101424398628      5145500.864876292
0.2578812744419119        0.15515523957492958      0.11560690486319385      -0.3152068782226769      0.013258142001739208     -0.5455892412056595      3602259.425389776
0.2915891404978641        0                        0.23093827905775136      0.1294589019193389       0.008563442814031041     -0.6708470373273777      1455247.8819661308
0.26053125369722957       0.05598469006357684      0.2181644465892216       0.06824962757466829      0.0022761480753634867    -0.5482981623501927      1016948.182922897
0.2095739920466677        0.2                      0.16122539502611996      -0.11740854744498615     0.0113220925965051       -0.3498407280917896      1809089.3903309342
0.20469641360486818       0.13721217275518244      0.14274877257595253      -0.16988270034495956     0.006360920817939776     -0.3486901194110079      2562068.3474492826
0.21065593313292333       0.2                      0.2545343330304807       0.16630686155456423      -0.015798548852316817    -0.3556357809186616      2441943.057826848
0.1836813994415308        0.14265006178350276      0.26478423705875076      0.17266929586435784      -0.008242945239330474    -0.2839903474227097      2917986.859371262
0.25658485547946225       0.13784940114756555      0.23371337266718306      0.12485288889955132      -0.003605442531799846    -0.5341982305281554      1566637.9431470118
0.15245669608516615       0.2                      0.3138238626408292       0.2546110416160933       -0.034017440070945905    -0.19983566441651218     5015357.942578734
0.15927552368665587       0.12613268067094816      0.4                      0.48054072653078533      -0.015405666498212667    -0.27001506208526976     8786449.451829167
0.09999999999999964       0.2                      0.4                      0.3104376741016441       -0.05645166082021942     -0.12774896218674678     8703087.10247282
0.3562335391561286        0                        0.07619780726137018      -0.6313343510671955      -0.033072549976240186    -1.0092090328917678      4993543.755147443
0.32834168650303025       0.06484782889660966      0                        -0.9570234637834415      -0.018881855460465644    -0.9101831408796529      8137409.720490731
0.3331728520928924        0.12723901063311355      0.060208824759749924     -0.6715281558059405      0.010464403727817071     -0.9072498383578302      5688636.930322045
0.2999999999999998        0.2                      0                        -0.8787128466327233      0.05524327942113213      -0.7627374930579317      8242123.172196197
0.36265813978773154       0.13317738979697955      0                        -1.0494146738800334      0.017909925264855738     -1.0886555136205496      8009864.6045433665
0.3958841905063723        0.05870118740704258      0.07064378242239094      -0.7287929939359539      -0.01394415899129065     -1.2450008368446825      5115236.126389737
0.4000000000000001        0                        0                        -1.1475179348844817      -0.05232912884475765     -1.289035087664467       7874820.910143613
0.30270901776808246       0.061851237809881325     0.3249617393814264       0.5471565716871828       0.013045187891035372     -0.7535999291475463      5165933.271015415
0.2346204709262132        0.06846695378182809      0.4                      0.6972572602170268       0.017909140423519213     -0.5055574758897822      8491739.81748103
0.21396769519687595       0.14954508543154205      0.35275833398329337      0.4817373597338798       -0.021873549771117606    -0.40695722872452406     6560689.294933666
